#Слова с занятий с Дашей, которые она будет проверять
#separator:Semicolon
#html:true
#tags:daria даша
#notetype:German
#columns:Front;Back;Example;ExampleTranslation;Notes;Synonym
Die Milch;молоко;;;;
der Husten;кашель;;;;
teilnehmen <b>an</b> + <i>Dat</i>;принимать участие;<i>Ich möchte am Kurs <b>teilnehmen</b>.</i>;;отделяемая приставка <b>teil<b>;;
das Geschäft;магазин, бизнес;<i>Ich gehe in <b>das Geschäft</b>, um Brot zu kaufen.</i>;;;;
froh;рад;<i>Ich bin sehr <b>froh</b>, dich zu sehen.</i>;;;;
denken <b>an</b> + <i>Akk</i>;думать о чем-то/ком-то;<i>Ich <b>denke an</b> dich.</i>;;;;
die Stelle;место работы;<i>Er hat eine neue <b>Stelle</b> gefunden.</i>;;;;
die Entwicklung;развитие;<i>Die technische <b>Entwicklung</b> ist sehr schnell.</i>;;;;
erkennen;признавать;<i>Ich konnte ihn sofort <b>erkennen</b>.</i>;;;;
die Stadt;город;<i>Berlin ist eine große <b>Stadt</b>.</i>;;;;
der Staat;государство;<i>Der <b>Staat</b> hilft den Bürgern.</i>;;;;
das Gedicht;стихотворение;<i>Sie liest gern <b>Gedichte</b>.</i>;;;;
die Kindheit;детство;<i>Meine <b>Kindheit</b> war sehr schön.</i>;;;;
anrufen + <i>Akk</i>;звонить кому-то;<i>Ich muss meinen Freund <b>anrufen</b>.</i>;;;;
die Hilfe;помощь;<i>Vielen Dank für deine <b>Hilfe</b>.</i>;;;;
vorbereiten;подготавливать;<i>Ich muss mich auf die Prüfung <b>vorbereiten</b>.</i>;;;;
mieten;брать в аренду;<i>Wir wollen ein Auto <b>mieten</b>.</i>;;;;
der Weg;путь;<i>Der <b>Weg</b> zum Bahnhof ist nicht weit.</i>;;;;
übernachten;переночевать;<i>Wir werden im Hotel <b>übernachten</b>.</i>;;;;
führen;вести (за собой);<i>Der Lehrer kann die Gruppe <b>führen</b>.</i>;;;;
wöhlen;выбирать;<i>Welches Buch willst du <b>wählen</b>?</i>;;;;
der Bekannte;знакомый;<i>Ich habe einen neuen <b>Bekannten</b>.</i>;;;;
die Wissenschaft;наука;<i><b>Wissenschaft</b> ist sehr wichtig für die Zukunft.</i>;;;;
halten;держать;<i>Kannst du das bitte kurz <b>halten</b>?</i>;;;;
das Gleichgewicht;баланс;<i>Er hat das <b>Gleichgewicht</b> verloren.</i>;;;;
teilweise;частично;<i>Das Ergebnis ist nur <b>teilweise</b> korrekt.</i>;;;;
sich erholen;отдыхать;<i>Ich möchte mich im Urlaub <b>erholen</b>.</i>;;;;
die Wirtschaft;экономика;<i>Die <b>Wirtschaft</b> wächst langsam.</i>;;;;
betragen;сопоставлять;<i>Die Kosten <b>betragen</b> 100 Euro.</i>;;;;
bestehen <b>aus</b> + <i>Dat</i>;состоять из чего-либо;<i>Das Team <b>besteht aus</b> fünf Personen.</i>;;;;
unterschiedlich;разнообразный;<i>Die Meinungen sind sehr <b>unterschiedlich</b>.</i>;;;;
achten <b>auf</b> + <i>Akk</i>;обращать внимание на что-то;<i>Bitte <b>achten Sie auf</b> den Verkehr.</i>;;;;
wegwerfen;выбрасывать;<i>Du sollst den Müll nicht einfach <b>wegwerfen</b>.</i>;;отделяемая приставка <b>teil<b>;;

fühlen sich;чувствовать себя;<i>Nach einem langen Arbeitstag <b>fühle ich mich</b> müde.</i>;;;;
schwach;слабый;<i>Er ist nach der Krankheit noch <b>schwach</b>.</i>;;;;
erholen sich;отдыхать;<i>Wir <b>erholen uns</b> am Wochenende am Meer.</i>;;;;
die Entscheidung treffen;принимать решение;<i>Wir müssen bald <b>eine Entscheidung treffen</b>.</i>;;;;
die Vergangenheit;прошлое;<i>Wir sprechen oft über <b>die Vergangenheit</b>.</i>;;;;
die Gegenwart;настоящее;<i>Manchmal ist es wichtig, im Moment, in <b>der Gegenwart</b>, zu leben.</i>;;;;
die Zukunft;будущее;<i>Was denkst du über <b>die Zukunft</b>?</i>;;;;
die Prüfung;экзамен;<i>Morgen habe ich eine schwierige <b>Prüfung</b>.</i>;;;;
prüfen;проверять;<i>Der Lehrer wird meine Hausaufgaben <b>prüfen</b>.</i>;;;;
übermorgen;послезавтра;<i>Ich fliege <b>übermorgen</b> nach Hause.</i>;;;;
vorgestern;позавчера;<i>Wir haben uns <b>vorgestern</b> im Café getroffen.</i>;;;;
mühegeben;прикладывать усилия;;;;;

ziemlich;достаточно;<i>Das ist <b>ziemlich</b> einfach.</i>;<i>Это <b>достаточно</b> просто.</i>;;;
zufrieden sein;быть довольным;<i>Ich bin mit meiner Arbeit <b>zufrieden</b>.</i>;<i>Я <b>доволен</b></i> своей работой.</i>;;;
die Gewohnheit;привычка;<i>Ich habe die <b>Gewohnheit</b>, morgens Kaffee zu trinken.</i>;<i>У меня есть <b>привычка</b> пить кофе по утрам.</i>;;;
sich gewöhnen <b>an</b> + <i>Akk</i>;привыкать к чему-то;<i>Ich kann <b>mich</b> nicht an die Kälte <b>gewöhnen</b>.</i>;<i>Я не могу <b>привыкнуть к</b> холоду.</i>;;;
auf dem Lande;за городом;<i>Wir wohnen jetzt <b>auf dem Lande</b>.</i>;<i>Мы сейчас живем <b>за городом</b>.</i>;;;
ausfragen;распрашивать;<i>Der Polizist <b>fragte</b> den Zeugen <b>aus</b>.</i>;<i>Полицейский <b>расспрашивал</b> свидетеля.</i>;;;
angenehm;приятный;<i>Das Treffen war sehr <b>angenehm</b>.</i>;<i>Встреча была очень <b>приятной</b>.</i>;;;
die Abhängigkeit;зависимость;<i>Er hat eine <b>Abhängigkeit</b> von Kaffee.</i>;<i>У него есть <b>зависимость</b> от кофе.</i>;;;
überfordern;перенапрягать;<i>Die Arbeit <b>überfordert</b> mich.</i>;<i>Эта работа меня <b>перенапрягает</b>.</i>;;;

verbringen;проводить (время);<i>Wir <b>verbringen</b> den Urlaub in den Bergen.</i>;<i>Мы <b>проводим</b> отпуск в горах.</i>;;;
vorbereiten <b>auf</b> + <i>Dat</i>;подготавливаться к чему-то;<i>Sie <b>bereitet</b> sich auf die Prüfung <b>vor</b>.</i>;<i>Она <b>готовится к</b> экзамену.</i></i>;;;
aussagen;высказывать;<i>Ich kann nichts Konkretes darüber <b>aussagen</b>.</i><br /><i>Der Zeuge <b>sagt</b> vor Gericht <b>aus</b>.</i>;<i>Я не могу ничего конкретного об этом <b>высказать</b>.</i><br /><i>Свидетель <b>дает показания</b> в суде.</i>;;;
sich entscheiden;решаться (по отношению к себе);<i>Ich muss <b>mich entscheiden</b>, ob ich nach Berlin fahre oder nicht.</i><br /><i>Er kann <b>sich</b> nicht <b>entscheiden</b>, was er essen soll.</i>;<i>Я должен <b>решиться</b>, поеду я в Берлин или нет.</i><br /><i>Он не может <b>решиться</b>, что ему съесть.</i>;;;
teilen;делить;<i>Wir <b>teilen</b> die Pizza in vier Stücke.</i>;<i>Мы <b>делим</b> пиццу на четыре части.</i>;;;
mitteilen;поделиться (информацией);<i>Er hat mir eine wichtige Information <b>mitgeteilt</b>.</i>;<i>Он <b>сообщил</b> мне важную информацию.</i>;;;
bügelt;гладить;<i>Mein Vater <b>bügelt</b> immer seine Hemden selbst.</i>;<i>Мой отец всегда сам <b>гладит</b> свои рубашки.</i>;;;
gießen;поливать;<i>Vergiss nicht, die Blumen zu <b>gießen</b>.</i>;<i>Не забудь <b>поливать</b> цветы.</i>;;;
aufhellen;осветлять;<i>Die Sonne <b>hellt</b> den Himmel <b>auf</b>.</i>;<i>Солнце <b>осветляет</b> небо.</i>;;;
berufstätig;трудоустроенный;<i>Meine Mutter ist <b>berufstätig</b>.</i>;<i>Моя мама <b>работает</b> (трудоустроенная).</i>;;;
aussehen;выглядеть;<i>Du <b>siehst</b> heute gut <b>aus</b>.</i>;<i>Ты сегодня хорошо <b>выглядишь</b>.</i>;;;
abhängen <b>von</b> + <i>Dat</i>;зависеть от чего-то;<i>Der Erfolg <b>hängt von</b> dir <b>ab</b>.</i>;<i>Успех <b>зависит от</b> тебя.</i>;;;
faul;ленивый;<i>Er ist so <b>faul</b>, dass er heute nicht aufgestanden ist.</i>;<i>Он такой <b>ленивый</b>, что сегодня не встал.</i>;;;
ab und zu;время от времени;<i>Ich treffe <b>ab und zu</b> Freunde.</i>;<i>Я <b>время от времени</b> встречаюсь с друзьями.</i>;;;
sich kümmern <b>um</b> + <i>Akk</i>;заботиться о чем-то (ухаживать);<i>Ich <b>kümmere mich um</b> meine Katze.</i>;<i>Я <b>забочусь о</b> моей кошке.</i>;;;
die Sorge;забота, переживание;Ich habe viele <b>Sorgen</b>.;У меня много <b>забот</b>.;;;

zeigen;показывать;Kannst du mir bitte den Weg <b>zeigen</b>?;Можешь, пожалуйста, мне <b>показать</b> дорогу?;;;
sammeln;собирать;Die Kinder <b>sammeln</b> bunte Blätter.;Дети <b>собирают</b> разноцветные листья.;;;