#Слова со звездочкой (для экзамена) с занятий с Дашей, которые она будет проверять
#separator:Semicolon
#html:true
#tags:daria даша
#columns:Front;Back;Example;Notes;Synonym
weshalb;зачем;;;;
wertvoll;ценный;<i>Das Museum stellt viele <b>wertvolle</b> Gemälde aus.</i>;;
eigentlich;наконец;<i>Was wolltest du <b>eigentlich</b> sagen?</i>;;;
klappen;получаться;<i>Ich hoffe, dass alles <b>klappt</b>.</i>;;;
anstrengend;утомительный, напряженный;<i>Der Job ist sehr <b>anstrengend</b>.</i>;;;
innerhalb;внутри;<i>Sie müssen <b>innerhalb</b> von 10 Minuten hier sein.</i>;;;
die Ablehnung;отказ;<i>Ich habe eine <b>Ablehnung</b> für meinen Antrag bekommen.</i>;;;
die Herstellung;производство;<i><b>Die Herstellung</b> von Autos ist sehr komplex.</i>;;;
herstellen;производить;<i>Dieses Unternehmen kann Tische und Stühle <b>herstellen</b>.</i>;;;
schaffen;создавать;<i>Ich <b>schaffe</b> es, die Arbeit bis Freitag zu beenden.</i>;;;
das Gerät;прибор;<i>Mein neues <b>Gerät</b> funktioniert sehr gut.</i>;;;
Schluss;окончание;<i>Ich bin müde, machen wir <b>Schluss</b>.</i>;;;
Schluss machen;заканчивать;<i>Ich habe <b>mit ihm Schluss gemacht</b>.</i>;;beenden;
entwickeln;развивать, разрабатывать;<i>Das Unternehmen möchte neue Produkte <b>entwickeln</b>.</i>;;;
echt;реально, правдиво;<i>Das ist <b>echt</b> eine gute Idee!</i>;;;