Infinitiv;Präteritum;Partizip II;Перевод
bleiben;blieb;geblieben;оставаться
leihen;lieh;geliehen;брать взаймы
meiden;mied;gemieden;избегать
scheiden;schied;geschieden;разделять, разводить
scheinen;schien;geschienen;светить
schreiben;schrieb;geschrieben;писать
schreien;schrie;geschrien;кричать
schweigen;schwieg;geschwiegen;молчать
steigen;stieg;gestiegen;подниматься
treiben;trieb;getrieben;гнать, заниматься спортом
verzeihen;verzieh;verziehen;прощать
weisen;wies;gewiesen;указывать
beißen;biss;gebissen;кусать
gleichen;glich;geglichen;быть похожим
gleiten;glitt;geglitten;скользить
greifen;griff;gegriffen;хватать, браться
leiden;litt;gelitten;страдать
pfeifen;pfiff;gepfiffen;свистеть
reißen;riss;gerissen;рвать
reiten;ritt;geritten;ездить верхом
schneiden;schnitt;geschnitten;резать
schreiten;schritt;geschritten;шагать, шествовать
streichen;strich;gestrichen;красить, намазывать, вычеркивать, бродить
streiten;stritt;gestritten;спорить, ссориться
biegen;bog;gebogen;гнуть, изгибать
bieten;bot;geboten;предлагать
fliegen;flog;geflogen;летать
fliehen;floh;geflohen;убегать
fließen;floss;geflossen;течь
frieren;fror;gefroren;мерзнуть
gießen;goss;gegossen;лить
genießen;genoss;genossen;наслаждаться
kriechen;kroch;gekrochen;ползать, ползти
riechen;roch;gerochen;нюхать, пахнуть
schieben;schob;geschoben;двигать
schießen;schoss;geschossen;стрелять
schließen;schloss;geschlossen;закрывать
verlieren;verlor;verloren;терять, проигрывать
wiegen;wog;gewogen;взвешивать, весить
ziehen;zog;gezogen;тянуть
binden;band;gebunden;завязывать, связывать
dringen;drang;gedrungen;настаивать, требовать
finden;fand;gefunden;найти
gelingen;gelang;gelungen;удаваться
klingen;klang;geklungen;звучать
singen;sang;gesungen;петь
sinken;sank;gesunken;погружаться
springen;sprang;gesprungen;прыгать
trinken;trank;getrunken;пить
verschwinden;verschwand;verschwunden;исчезать
zwingen;zwang;gezwungen;принуждать, заставлять
beginnen;begann;begonnen;начинать
gewinnen;gewann;gewonnen;выигрывать, добывать
schwimmen;schwamm;geschwommen;плавать
befehlen (befiehlt);befahl;befohlen;приказывать
bergen (birgt);barg;geborgen;спасать, прятать
bersten (birst);barst;geborsten;трескаться
brechen (bricht);brach;gebrochen;ломать
erschrecken (erschrickt);erschrak;erschrocken;испугать
gelten (gilt);galt;gegolten;считаться, относиться
helfen (hilft);half;geholfen;помогать
nehmen (nimmt);nahm;genommen;брать
sprechen (spricht);sprach;gesprochen;говорить
stehlen (stielt);stahl;gestohlen;красть
sterben (stirbt);starb;gestorben;умирать
treffen (trifft);traf;getroffen;встречать (ся)
werben (wirbt);warb;geworben;набирать, рекламировать
werfen (wirft);warf;geworfen;бросать
gebären;gebar;geboren;рожать
essen (isst);aß;gegessen;есть, кушать
geben (gibt);gab;gegeben;дать
genesen;genas;genesen;выздоравливать
geschehen (geschieht);geschah;geschehen;происходить, случаться
lesen (liest);las;gelesen;читать
messen (misst);maß;gemessen;измерять
sehen (sieht);sah;gesehen;видеть
treten (tritt);trat;getreten;(на)ступать, пинать
vergessen (vergisst);vergaß;vergessen;забывать
bitten;bat;gebeten;просить
liegen;lag;gelegen;лежать
sitzen;saß;gesessen;сидеть
backen (bäckt);buk/backte;gebacken;печь
fahren (fährt);fuhr;gefahren;ехать
graben (gräbt);grub;gegraben;копать
laden (lädt);lud;geladen;грузить
schaffen;schuf;geschaffen;создавать
schlagen (schlägt);schlug;geschlagen;бить
tragen (trägt);trug;getragen;нести
wachsen (wächst);wuchs;gewachsen;расти, увеличиваться
waschen (wäscht);wusch;gewaschen;мыть
erwägen;erwog;erwogen;обдумывать
flechten;flocht;geflechten;плести, вязать
heben;hob;gehoben;поднимать, повышать
lügen;log;gelogen;лгать
schmelzen (schmilzt);schmolz;geschmolzen;таять, плавиться
blasen (bläst);blies;geblasen;дуть, выдувать
braten (brät);briet;gebraten;жарить
fallen (fällt);fiel;gefallen;падать
gefallen (gefällt);gefiel;gefallen;нравиться
halten (hält);hielt;gehalten;держать
lassen (lässt);ließ;gelassen;оставлять
raten (rät);riet;geraten;советовать
schlafen (schläft);schlief;geschlafen;спать
fangen (fängt);fing;gefangen;ловить
hängen;hing;gehangen;повесить
hauen;haute/hieb;gehauen;бить, ударять
heißen;hieß;geheißen;называться
laufen (läuft);lief;gelaufen;бежать
rufen;rief;gerufen;кричать, звать
stoßen (stößt);stieß;gestoßen;толкать, ударять
gehen;ging;gegangen;идти
kommen;kam;gekommen;приходить
stehen;stand;gestanden;стоять
tun (tut);tat;getan;делать
sein (ist);war;gewesen;быть
haben (hat);hatte;gehabt;иметь
werden (wird);wurde;geworden;становиться
brennen;brannte;gebrannt;гореть
bringen;brachte;gebracht;приносить
denken;dachte;gedacht;думать
kennen;kannte;gekannt;знать
nennen;nannte;genannt;называть
rennen;rannte;gerannt;мчаться
senden;sandte;gesandt;посылать
wenden;wandte;gewandt;поворачивать, обращать
wissen (weiß);wusste;gewusst;знать
können (kann);konnte;gekonnt;мочь
dürfen (darf);durfte;gedurft;мочь
sollen (soll);sollte;gesollt;быть должным
müssen (muss);musste;gemusst;быть должным
wollen (will);wollte;gewollt;хотеть
mögen (mag);mochte;gemocht;хотеть, любить