der Paprika;красный перец
das Radieschen;редис
die Tomate;помидор
das Ei;яйцо
der Reis;рис
der Pilz;гриб
die Mandel;миндаль
die Kekse;печенье
der Kuchen;пирог
die Torte;торт
das Eis;мороженое
der Honig;мёд
die Sahne;сливки
der Käse;сыр
der Frischkäse;творожный сыр
der Ketchup;кетчуп
der Senf;горчица
die Soße;соус
die Butter;масло
die Milch;молоко
das Getränk;Напиток
das Steak;стейк
das Fleisch;мясо
die Leber;печень
das Huhn;курица
der Oberschenkel;бедра
der Lachs;лосось
die Forelle;форель
die Garnele;креветка